x,y,z
36.81895054484356,101.8101550356156,52.0
36.81928493376242,101.8094914113741,52.0
36.81883630788226,101.8095628549245,56.0
36.81921393846756,101.808516620429,56.0
36.8195715715719,101.8074741709103,53.0
36.82006888842083,101.8067443598847,57.0
36.82010455948749,101.8067973847953,52.0
36.81968861306132,101.8083096796263,52.0
36.81969964126009,101.8092550449862,57.0
36.81892395104192,101.8104008217919,55.0
36.81886655809398,101.81043090396,55.0
36.81915372772751,101.8107613563673,56.0
36.82035903187747,101.8108262333369,54.0
36.82080612892321,101.8097217882737,56.0
36.82080997832804,101.809686521769,53.0
36.8208786770231,101.8095862830921,56.0
36.82134742658222,101.8077177712282,55.0
36.82135236594955,101.8076666959384,52.0
36.82042069004509,101.8081867711984,57.0
36.82074655916411,101.8073045744264,52.0
36.82078040967321,101.8072379913962,57.0
36.82080053296998,101.8071706605041,57.0
36.82089507877799,101.8068826990071,57.0
36.82148649027765,101.8057501919092,57.0
36.82161143082056,101.8057583371578,54.0
36.82199027928224,101.8057721134917,53.0
36.82206034563487,101.8057778498095,53.0
36.82217279042626,101.8057886519925,52.0
36.82231346566453,101.8058021672393,54.0
36.82246828981109,101.8058162764155,55.0
36.82386999931799,101.8055819566401,54.0
36.8239145735738,101.8055650708516,53.0
36.8240051694947,101.8055138244374,56.0
36.82407890121061,101.8054971652624,53.0
36.82421447288756,101.8054308418369,56.0
36.82430542025691,101.8053811390361,54.0
36.82492685025967,101.8050504851687,57.0
36.82332731023882,101.8046321227136,53.0
36.82567652061227,101.8046935462813,56.0
36.82573411455208,101.8046997780158,57.0
36.82579171575552,101.8047060105625,56.0
36.82597785042043,101.8047436046478,57.0
36.82798828344958,101.8049638984034,56.0
36.82805979510585,101.8049727320822,52.0
36.82818849780551,101.804988630979,55.0
36.828336153302,101.8049997244226,56.0
36.83037984372052,101.8051915198575,54.0
36.83025867430733,101.8045636454421,55.0
36.82922602029294,101.8062689942804,54.0
36.83011475130927,101.8069479736914,57.0
36.83016221537631,101.8069510711083,57.0
36.82995826143189,101.808375389994,56.0
36.82736416761408,101.807479755728,55.0
36.82771281824929,101.8062198927061,56.0
36.82560165404938,101.807730980306,53.0
36.8258452466667,101.8077449589243,52.0
36.82939373718489,101.8087387017075,55.0
36.82947152575004,101.8087464436227,56.0
36.8295649335185,101.8087557389449,52.0
36.82967372017945,101.8087667394879,55.0
36.83056049035633,101.8088578224793,55.0
36.8303102704985,101.8095141669683,57.0
36.82814088334277,101.8098923713647,52.0
36.8261116460903,101.810002793203,52.0
36.8241695808027,101.8097826039448,54.0
36.82404724768551,101.8084215992542,56.0
36.82548290109329,101.8063108662541,56.0
36.82357405987404,101.8068440541887,55.0
36.8184147910159,101.8154987191971,48.0
36.81896537741211,101.8154417716441,50.0
36.81951070315589,101.8155195540034,50.0
36.82032696575811,101.815636503875,50.0
36.8204222177227,101.8156978772431,50.0
36.8213779270525,101.8161733893126,50.0
36.82147481159993,101.816186667389,50.0
36.82207420354696,101.8162224478839,49.0
36.82213005758452,101.8162299294229,50.0
36.82226980052036,101.8162486477066,50.0
36.82315388118433,101.8163688553782,49.0
36.82323844069786,101.8163800073967,48.0
36.82417794600718,101.8163896580663,50.0
36.82439281585943,101.8162271090415,49.0
36.82555724083732,101.8163105993032,50.0
36.82572500348664,101.8163287863702,50.0
36.82664260344683,101.8164636859341,50.0
36.82668454165204,101.8164684501252,49.0
36.82675443060986,101.8164763899598,48.0
36.82861447425528,101.816054147441,50.0
36.82941141833373,101.8155813508577,48.0
36.82979433158716,101.8143115804106,49.0
36.8300219279671,101.8126932234539,49.0
36.82958496157904,101.8126420336229,48.0
36.8291230999211,101.8130590680653,49.0
36.82922775423497,101.8136452074739,50.0
36.82808906799959,101.8143267161337,48.0
36.82804257949815,101.8138709854917,48.0
36.82843451644863,101.813643479783,50.0
36.82679838059059,101.8139972441754,50.0
36.82667258594618,101.8149612203014,49.0
36.82828761702677,101.8155618073083,48.0
36.82502900193182,101.8155963344391,50.0
36.82446478437427,101.8147697878391,48.0
36.82686180221527,101.8127369880337,49.0
36.82456597910326,101.812448105947,50.0
36.82450638918174,101.8124411003048,50.0
36.82175972156527,101.8132708303054,49.0
36.82171098872397,101.8133551114,48.0
36.82168923247193,101.8134782069047,50.0
36.82219659415232,101.8156611404144,50.0
