x,y,z
29.21513705052822,-81.59125359338634,18.0
29.21878317724093,-81.57201651765513,18.0
29.22802784698174,-81.54140294558695,17.0
29.24583802847856,-81.54179978703658,15.0
29.24804005669725,-81.54299494721806,15.0
29.27616246767155,-81.55105222579351,15.0
29.27831013920111,-81.54933401476697,18.0
29.28011784706201,-81.54887344445444,17.0
29.30259086966874,-81.54624184537346,13.0
29.31700617392887,-81.55963768792165,14.0
29.31884495374284,-81.56084304874084,14.0
29.32031288051476,-81.56164080254896,13.0
29.32178084551402,-81.56243856414245,14.0
29.32509506296236,-81.56485819957707,14.0
29.32548126013132,-81.56609884454178,13.0
29.32733524729712,-81.56813732283044,11.0
29.32807686723901,-81.56895273206558,11.0
29.34656299113146,-81.58642696837369,14.0
29.35059596185878,-81.58841434890965,11.0
29.35391026492147,-81.59083593553568,12.0
29.36033481941901,-81.60443816906071,12.0
29.33756141207495,-81.63082243746594,13.0
29.33759141145624,-81.632488948396,14.0
29.33002801051899,-81.6564276060943,14.0
29.33004290740228,-81.6572611058814,13.0
29.30717760181036,-81.65862630823487,14.0
29.28330609446775,-81.64417047523999,18.0
29.2750481631439,-81.62937999921962,15.0
29.24754980392271,-81.61545702551727,18.0
29.24223656154161,-81.62307968248935,17.0
29.22166577796092,-81.61066308818663,17.0
29.21419059342402,-81.5991859140222,13.0
29.23495826030693,-81.5624652501142,16.0
29.24277840880678,-81.55311572413308,18.0
29.25072922612881,-81.59039570070314,17.0
29.25788591012413,-81.60438230476834,18.0
29.26091757484929,-81.57141163847943,16.0
29.25769770897724,-81.5544174711058,18.0
29.27960755684604,-81.5605470185239,17.0
29.28937277407946,-81.55822707117578,11.0
