x,y,z
4.709482850409211,-74.0778408167083,14.0
4.70948000498235,-74.07717554450588,13.0
4.707774667619952,-74.07736518327073,14.0
4.708463164132085,-74.07842147451247,14.0
4.706979890690276,-74.0776843914242,12.0
4.706279141153725,-74.07714830720927,14.0
4.705699438692871,-74.07626828399364,12.0
4.704327059965071,-74.07417705064356,10.0
4.70575726544703,-74.073860348307,11.0
4.707861847225948,-74.07480672540179,14.0
4.706627900200746,-74.07506458401653,13.0
4.706803054221675,-74.07507019465203,13.0
4.708010348899935,-74.07555653526718,12.0
4.708934109619933,-74.07340179087224,11.0
4.707154370846202,-74.07247295205694,12.0
4.705930518609603,-74.07271697834804,10.0
4.704525616395594,-74.07207925339877,12.0
4.704554081511226,-74.07307233344758,13.0
4.70481064195215,-74.07310687360508,13.0
4.705872732707908,-74.07339251648014,14.0
4.705959398767905,-74.07342377104446,12.0
4.706075127353829,-74.07345573179563,13.0
4.707124714102568,-74.07356865652406,14.0
4.709748780477243,-74.07567854923929,14.0
4.709688198378297,-74.07567634103738,12.0
4.70854628868279,-74.0760541290712,11.0
4.709445718049662,-74.07302288370714,11.0
4.707951223606373,-74.07198049004212,13.0
4.710636477855161,-74.06829539069047,10.0
4.708429372807895,-74.06888046669631,12.0
4.707185678907275,-74.06879695838758,14.0
4.706250571104908,-74.0696863552185,14.0
4.706134402471268,-74.06974525059047,14.0
4.70478203278102,-74.07012423391497,11.0
4.704241588326998,-74.06971463294924,11.0
4.704298461816073,-74.0691898797924,10.0
4.706777917805031,-74.06622241418117,13.0
4.706865754608251,-74.06625024353589,12.0
4.709301455961887,-74.06746396118383,11.0
4.708432629681634,-74.06612902826464,10.0
4.708401469443957,-74.06747554217804,13.0
4.701398979779927,-74.07824610217423,11.0
4.700826501806423,-74.07975369946271,13.0
4.700284642900595,-74.07932143906051,12.0
4.70020376518289,-74.07823653678945,10.0
4.700607878788649,-74.07655336088733,12.0
4.700149341997811,-74.07533737533079,10.0
4.700041397197704,-74.07453879544009,11.0
4.700148972432836,-74.07329224452849,12.0
4.700743462375879,-74.06934161077875,10.0
4.700067780531247,-74.06843394076587,10.0
4.700282148073967,-74.06675292891917,10.0
4.700634712074599,-74.06745997203446,12.0
4.700662026946898,-74.06817262977273,10.0
4.701343112170237,-74.06707774347521,11.0
4.70101541312713,-74.06682593731452,12.0
4.702141372677716,-74.0646484188392,12.0
4.701920636081181,-74.06290300989237,13.0
4.702279736206055,-74.06369378111293,13.0
4.703142869020399,-74.06406719833069,13.0
4.704100465948469,-74.06400407761261,10.0
4.704128725124049,-74.06365386331203,12.0
4.703451394509022,-74.06330179243788,13.0
4.702086248301516,-74.06194724196654,13.0
4.701097984125857,-74.06196604844268,12.0
4.701097990092381,-74.06185173120724,14.0
4.701097950022612,-74.05959345513632,14.0
4.701097985657351,-74.05945071707295,10.0
4.700962198217447,-74.05703497233473,14.0
4.701262163892422,-74.0557518949697,14.0
4.70252953778171,-74.05561431828687,13.0
4.702612883233791,-74.05557829842253,12.0
4.703535338600794,-74.05526690678754,12.0
4.703619718520699,-74.05525944662499,10.0
4.704610515638002,-74.05496896442665,13.0
4.704753084084127,-74.05507283281003,14.0
4.705815957846678,-74.05597707942911,10.0
4.705873516610643,-74.05635625841764,12.0
4.706047383145546,-74.05787362426392,12.0
4.706777761040671,-74.06198858762254,12.0
4.702557067551227,-74.06010529446463,12.0
4.703114784090317,-74.05698082237106,12.0
4.705038939007309,-74.05255804271744,14.0
4.703591484672884,-74.0513728796127,12.0
4.702031009058083,-74.05240663539831,10.0
4.702031033671451,-74.05257930105398,13.0
4.703366803319685,-74.05342640354054,11.0
4.700961783133435,-74.05329209197936,10.0
4.701207416470014,-74.05152411323168,11.0
4.702723975045181,-74.05054433964457,12.0
4.7028075275868,-74.05053462428853,11.0
4.704099385936586,-74.05009352655752,12.0
4.705038925266106,-74.05153317565615,12.0
4.70317058653543,-74.05089755005704,12.0
4.71270679252402,-74.05670170791024,13.0
4.721611425491781,-74.0550980613008,12.0
4.722365610610199,-74.06885272953612,11.0
4.725544104354797,-74.06442811371215,13.0
4.725725266335905,-74.06442296881002,14.0
4.726331913143759,-74.06691958831395,12.0
4.715698050052951,-74.07180841571223,14.0
4.713522863074532,-74.07135096188274,14.0
4.712118951536779,-74.0667261597913,13.0
4.715742553707704,-74.0678508110981,12.0
