,address
0,Real Casa de Correos 7 Puerta del Sol España
1,Gran Vía Cortes Centro España
2,Paseo de Recoletos Justicia Centro España
3,Plaza de Colón Recoletos Salamanca España
4,Wagamama 27 Calle de Génova España
5,Plaza de Alonso Martínez Almagro Chamberí España
6,Caixabank Calle de Zurbano Almagro España
7,Colegio San Diego y San Vicente Calle de Zurbano Almagro España
